CBD,LAT,LON,THK,SRF
333,-80.076401,-177.843307,9999,9999
334,-80.077698,-177.745895,9999,9999
335,-80.080505,-177.644501,9999,9999
336,-80.081802,-177.541702,9999,9999
337,-80.083206,-177.433395,9999,9999
338,-80.083099,-177.336105,9999,9999
339,-80.085907,-177.227798,9999,9999
340,-80.087204,-177.115402,9999,9999
341,-80.088593,-177.012604,9999,9999
342,-80.089996,-176.900208,9999,9999
343,-80.089905,-176.797394,9999,9999
344,-80.092697,-176.694595,9999,9999
345,-80.093994,-176.586304,9999,9999
346,-80.095398,-176.483597,9999,9999
347,-80.093994,-176.380798,9999,9999
348,-80.095398,-176.273895,9999,9999
349,-80.096695,-176.169693,9999,9999
350,-80.096695,-176.068298,9999,9999
351,-80.099396,-175.954498,9999,9999
352,-80.099396,-175.846207,9999,9999
353,-80.1008,-175.743393,9999,9999
354,-80.104904,-175.531006,9999,9999
355,-80.106201,-175.426804,9999,9999
356,-80.106201,-175.324005,9999,9999
357,-80.108994,-175.214401,9999,9999
358,-80.111694,-175.104706,9999,9999
359,-80.114395,-174.986801,9999,9999
360,-80.115799,-174.877106,9999,9999
361,-80.1185,-174.772995,9999,9999
362,-80.119904,-174.664703,9999,9999
363,-80.122604,-174.555099,9999,9999
364,-80.125305,-174.445404,9999,9999
365,-80.126694,-174.341202,9999,9999
366,-80.129395,-174.238403,9999,9999
367,-80.130798,-174.132904,9999,9999
368,-80.133499,-174.008102,9999,9999
369,-80.134903,-173.904007,9999,9999
370,-80.1362,-173.799805,9999,9999
371,-80.137604,-173.690201,9999,9999
372,-80.140396,-173.585999,9999,9999
373,-80.140305,-173.487396,9999,9999
374,-80.141693,-173.381897,9999,9999
375,-80.144394,-173.283203,9999,9999
376,-80.141693,-173.179001,9999,9999
377,-80.144394,-173.069305,9999,9999
378,-80.147202,-172.970703,9999,9999
379,-80.145798,-172.871994,9999,9999
380,-80.147095,-172.767899,9999,9999
381,-80.149902,-172.663696,9999,9999
382,-80.149902,-172.565002,9999,9999
383,-80.149796,-172.464996,9999,9999
384,-80.151199,-172.366302,9999,9999
385,-80.151199,-172.271805,9999,9999
386,-80.151199,-172.162094,9999,9999
387,-80.152496,-172.069,9999,9999
388,-80.1539,-171.963394,9999,9999
389,-80.152496,-171.864807,9999,9999
390,-80.1539,-171.766098,9999,9999
391,-80.155197,-171.666107,9999,9999
392,-80.155197,-171.567398,9999,9999
393,-80.155197,-171.474304,9999,9999
394,-80.156601,-171.368805,9999,9999
395,-80.158005,-171.259094,9999,9999
396,-80.156601,-171.165894,9999,9999
397,-80.157898,-171.065903,9999,9999
398,-80.159302,-170.972702,9999,9999
399,-80.159302,-170.872696,9999,9999
400,-80.157898,-170.768494,9999,9999
401,-80.159302,-170.673996,9999,9999
402,-80.159302,-170.575302,9999,9999
403,-80.159302,-170.475296,9999,9999
404,-80.157898,-170.361496,9999,9999
405,-80.157898,-170.266998,9999,9999
406,-80.157898,-170.175201,9999,9999
407,-80.157898,-170.075104,9999,9999
408,-80.159195,-169.973694,9999,9999
409,-80.157898,-169.8806,9999,9999
410,-80.157806,-169.781998,9999,9999
411,-80.157806,-169.683304,9999,9999
412,-80.156494,-169.583298,9999,9999
413,-80.157806,-169.473602,9999,9999
414,-80.156494,-169.374893,9999,9999
415,-80.157806,-169.276306,9999,9999
416,-80.155106,-169.183105,9999,9999
417,-80.153702,-169.078995,9999,9999
418,-80.153702,-168.983002,9999,9999
419,-80.150894,-168.888504,9999,9999
420,-80.152298,-168.795303,9999,9999
421,-80.149597,-168.685699,9999,9999
422,-80.149597,-168.582901,9999,9999
423,-80.149506,-168.482895,9999,9999
